occuptation,year,trust_ARG,trust_AUS,trust_BEL,trust_BRA,trust_CAN,trust_CHL,trust_CHN,trust_COL,trust_DEU,trust_DNK,trust_ESP,trust_FRA,trust_GBR,trust_HUN,trust_IND,trust_ITA,trust_JAP,trust_KOR,trust_MEX,trust_MYS,trust_NDL,trust_PER,trust_POL,trust_KSA,trust_SWE,trust_TUR,trust_USA,trust_RSA
Doctors,2022,68,65,61,59,62,60,68,61,60,62,71,65,66,40,55,54,43,43,70,57,69,53,39,60,55,58,60,61
Scientists,2022,64,59,55,61,58,63,71,65,52,60,70,57,62,53,63,56,37,49,70,50,59,53,48,60,54,63,53,44
Teachers,2022,55,57,47,64,57,63,66,59,41,45,62,52,59,52,62,43,17,31,55,57,61,40,34,58,52,56,58,55
Armed forces members,2022,36,50,33,30,50,31,NA,29,36,41,47,52,51,38,64,37,33,25,38,46,44,34,30,NA,56,39,56,28
Ordinary men/women,2022,41,40,32,36,37,46,48,47,38,43,44,39,40,27,52,34,16,22,53,35,32,35,35,47,31,27,40,31
The police,2022,20,50,40,29,45,32,NA,24,NA,NA,50,50,44,29,41,39,31,24,13,38,58,20,24,NA,55,42,41,16
Judges,2022,13,48,36,28,46,17,NA,21,47,57,32,42,49,26,54,27,36,25,21,40,59,11,24,NA,49,29,34,36
Lawyers,2022,18,28,24,20,26,25,55,20,38,34,27,31,33,21,41,21,30,22,21,32,39,16,27,48,38,26,17,30
Pollsters,2022,30,13,23,37,22,28,NA,37,33,33,26,38,20,22,35,28,12,16,39,34,25,37,20,50,32,27,16,19
Television news readers,2022,19,27,30,28,30,19,47,18,39,34,20,24,37,15,37,19,19,21,17,36,37,20,15,49,40,20,24,37
Clergy/Priests,2022,16,27,18,30,27,14,NA,25,27,46,15,24,33,21,40,21,18,36,25,25,24,28,16,NA,41,16,37,31
Journalists,2022,18,21,21,34,28,25,45,23,29,24,17,27,20,9,38,18,16,15,33,28,34,23,24,44,27,16,24,29
Civil servants,2022,10,29,23,24,32,16,NA,14,29,37,24,37,31,20,46,20,17,19,11,31,23,7,11,49,28,31,22,31
Bankers,2022,15,20,18,14,30,16,41,18,25,29,11,18,23,12,52,17,16,29,20,42,16,16,11,51,30,22,27,32
Business leaders,2022,19,19,15,20,21,14,43,33,22,28,16,25,22,16,41,23,13,15,24,28,22,26,16,51,19,20,18,29
Advertising executives,2022,17,12,14,18,15,17,30,25,18,15,13,13,16,8,35,16,9,10,22,21,11,18,11,40,14,18,13,24
Government ministers,2022,7,16,14,13,19,14,NA,12,23,28,11,16,17,9,31,14,10,17,15,20,17,10,13,NA,26,18,15,11
Politicians generally,2022,8,12,12,9,14,7,NA,9,18,21,8,14,16,7,28,11,7,9,9,17,13,7,7,NA,15,14,10,10
